,country,date,cases
43029,China,5/26/20,87390
43030,China,5/26/21,112113
43031,China,5/26/22,2094030
43032,China,5/27/20,87421
43033,China,5/27/21,112141
43034,China,5/27/22,2094679
43035,China,5/28/20,87444
43036,China,5/28/21,112183
43037,China,5/28/22,2095275
43038,China,5/29/20,87466
43039,China,5/29/21,112207
43040,China,5/29/22,2095730
43041,China,5/3/20,86842
43042,China,5/3/21,111385
43043,China,5/3/22,2037518
43044,China,5/30/20,87475
43045,China,5/30/21,112256
43046,China,5/30/22,2096200
43047,China,5/31/20,87496
43048,China,5/31/21,112286
43049,China,5/31/22,2096684
43050,China,5/4/20,86838
43051,China,5/4/21,111411
43052,China,5/4/22,2043178
43053,China,5/5/20,86855
43054,China,5/5/21,111431
43055,China,5/5/22,2048423
43056,China,5/6/20,86877
43057,China,5/6/21,111451
43058,China,5/6/22,2053250
43059,China,5/7/20,86888
43060,China,5/7/21,111478
43061,China,5/7/22,2057995
43062,China,5/8/20,86905
43063,China,5/8/21,111501
43064,China,5/8/22,2062668
43065,China,5/9/20,86934
43066,China,5/9/21,111522
43067,China,5/9/22,2066938
43068,China,6/1/20,87520
43069,China,6/1/21,112329
43070,China,6/1/22,2097282
43071,China,6/10/20,87626
43072,China,6/10/21,112702
43073,China,6/10/22,2103227
43074,China,6/11/20,87636
43075,China,6/11/21,112758
43076,China,6/11/22,2104341
43077,China,6/12/20,87648
43078,China,6/12/21,112820
43079,China,6/12/22,2105331
43080,China,6/13/20,87713
43081,China,6/13/21,112854
43082,China,6/13/22,2106288
43083,China,6/14/20,87769
43084,China,6/14/21,112896
43085,China,6/14/22,2107342
43086,China,6/15/20,87830
43087,China,6/15/21,112943
43088,China,6/15/22,2108598
43089,China,6/16/20,87880
43090,China,6/16/21,112997
43091,China,6/16/22,2109935
43092,China,6/17/20,87921
43093,China,6/17/21,113040
43094,China,6/17/22,2111214
43095,China,6/18/20,87965
43096,China,6/18/21,113094
43097,China,6/18/22,2112692
43098,China,6/19/20,87971
43099,China,6/19/21,113157
43100,China,6/19/22,2114127
43101,China,6/2/20,87535
43102,China,6/2/21,112368
43103,China,6/2/22,2097925
43104,China,6/20/20,88034
43105,China,6/20/21,113186
43106,China,6/20/22,2115561
43107,China,6/21/20,88057
43108,China,6/21/21,113229
43109,China,6/21/22,2116897
43110,China,6/22/20,88115
43111,China,6/22/21,113278
43112,China,6/22/22,2118491
43113,China,6/23/20,88150
43114,China,6/23/21,113305
43115,China,6/23/22,2120269
43116,China,6/24/20,88172
43117,China,6/24/21,113347
43118,China,6/24/22,2122283
43119,China,6/25/20,88201
43120,China,6/25/21,113394
43121,China,6/25/22,2124209
43122,China,6/26/20,88229
43123,China,6/26/21,113431
43124,China,6/26/22,2126233
43125,China,6/27/20,88258
43126,China,6/27/21,113478
43127,China,6/27/22,2128225
43128,China,6/28/20,88277
43129,China,6/28/21,113519
43130,China,6/28/22,2130033
43131,China,6/29/20,88305
43132,China,6/29/21,113555
43133,China,6/29/22,2132190
43134,China,6/3/20,87538
43135,China,6/3/21,112407
43136,China,6/3/22,2098595
43137,China,6/30/20,88311
43138,China,6/30/21,113577
43139,China,6/30/22,2134718
43140,China,6/4/20,87553
43141,China,6/4/21,112450
43142,China,6/4/22,2099041
43143,China,6/5/20,87561
43144,China,6/5/21,112503
43145,China,6/5/22,2099865
43146,China,6/6/20,87572
43147,China,6/6/21,112539
43148,China,6/6/22,2100607
43149,China,6/7/20,87581
43150,China,6/7/21,112597
43151,China,6/7/22,2101049
43152,China,6/8/20,87587
43153,China,6/8/21,112620
43154,China,6/8/22,2101560
43155,China,6/9/20,87610
43156,China,6/9/21,112653
